Date,WFO_Permanent,WFO_Guest,Total_WFO,Seating_Capacity,Event_Flag,DayOfWeek,Is_Mandatory_Holiday,Is_Restricted_Holiday,Headcount,Hiring_Flag
06-11-2024,30,0,30,77,0,2,0,0,67,0
07-11-2024,20,0,20,77,0,3,0,0,67,0
08-11-2024,30,0,30,77,0,4,0,0,68,0
11-11-2024,60,0,60,77,1,0,0,0,68,0
12-11-2024,25,0,25,77,1,1,0,0,68,0
13-11-2024,35,0,35,77,1,2,0,0,68,0
14-11-2024,28,0,28,77,0,3,0,0,68,0
15-11-2024,37,0,37,77,0,4,0,0,68,0
18-11-2024,36,0,36,77,0,0,0,0,68,0
19-11-2024,38,0,38,77,0,1,0,0,69,0
20-11-2024,45,0,45,77,0,2,0,0,69,0
21-11-2024,41,0,41,77,0,3,0,0,69,0
22-11-2024,45,0,45,77,0,4,0,0,69,0
25-11-2024,39,0,39,77,0,0,0,0,70,0
26-11-2024,32,0,32,77,0,1,0,0,70,0
27-11-2024,29,0,29,77,0,2,0,0,70,0
28-11-2024,20,0,20,77,0,3,0,0,70,0
02-12-2024,39,0,39,77,0,0,0,0,70,0
03-12-2024,52,0,52,77,0,1,0,0,70,0
04-12-2024,39,0,39,77,0,2,0,0,70,0
05-12-2024,29,0,29,77,0,3,0,0,70,0
06-12-2024,25,0,25,77,0,4,0,0,70,0
09-12-2024,45,0,45,77,0,0,0,0,70,0
10-12-2024,40,0,40,77,0,1,0,0,70,0
11-12-2024,39,0,39,77,0,2,0,0,70,0
16-12-2024,40,2,42,77,0,0,0,0,70,0
17-12-2024,38,0,38,77,0,1,0,0,70,0
18-12-2024,41,0,41,77,0,2,0,0,70,0
20-12-2024,53,0,53,77,1,4,0,0,70,0
23-12-2024,34,3,37,77,0,0,0,0,70,0
24-12-2024,44,3,47,77,0,1,0,0,71,0
26-12-2024,26,3,29,77,0,3,0,0,71,0
30-12-2024,26,3,29,77,0,0,0,0,71,0
31-12-2024,33,3,36,77,0,1,0,0,70,0
01-01-2025,18,2,20,77,0,2,0,1,70,0
02-01-2025,37,3,40,77,0,3,0,0,70,0
03-01-2025,43,3,46,77,0,4,0,0,70,0
06-01-2025,42,3,45,77,1,0,0,0,70,0
07-01-2025,48,3,51,77,1,1,0,0,71,0
08-01-2025,52,3,55,77,1,2,0,0,71,0
09-01-2025,37,2,39,77,0,3,0,0,71,0
10-01-2025,47,0,47,77,0,4,0,0,71,0
13-01-2025,29,0,29,77,0,0,0,0,71,0
15-01-2025,29,0,29,77,0,2,0,0,71,0
17-01-2025,43,1,44,77,1,4,0,0,71,0
20-01-2025,49,2,51,77,1,0,0,0,71,0
21-01-2025,53,2,55,77,1,1,0,0,72,0
22-01-2025,41,0,41,77,0,2,0,0,72,0
23-01-2025,20,0,20,77,0,3,0,0,72,0
24-01-2025,41,0,41,77,0,4,0,0,72,0
27-01-2025,65,0,65,77,1,0,0,0,72,0
28-01-2025,71,0,71,77,1,1,0,0,99,1
29-01-2025,63,1,64,77,1,2,0,0,99,0
30-01-2025,50,1,51,77,1,3,0,0,99,0
31-01-2025,80,1,81,77,1,4,0,0,99,0
03-02-2025,58,0,58,77,0,0,0,0,99,0
04-02-2025,61,0,61,77,0,1,0,0,99,0
05-02-2025,63,0,63,77,0,2,0,0,99,0
06-02-2025,61,0,61,77,0,3,0,0,99,0
07-02-2025,66,0,66,77,0,4,0,0,99,0
10-02-2025,64,0,64,77,0,0,0,0,99,0
11-02-2025,58,0,58,77,0,1,0,0,99,0
12-02-2025,67,1,68,77,0,2,0,0,99,0
13-02-2025,62,1,63,77,0,3,0,0,99,0
14-02-2025,70,1,71,77,0,4,0,0,99,0
17-02-2025,67,5,72,77,0,0,0,0,99,0
18-02-2025,64,5,69,77,0,1,0,0,99,0
19-02-2025,59,4,63,77,0,2,0,0,99,0
20-02-2025,63,4,67,77,0,3,0,0,99,0
21-02-2025,74,5,79,77,0,4,0,0,99,0
24-02-2025,66,4,70,77,0,0,0,0,99,0
25-02-2025,54,0,54,77,1,1,0,0,99,0
26-02-2025,45,4,49,77,1,2,1,0,99,0
27-02-2025,59,4,63,77,1,3,0,0,99,0
28-02-2025,73,2,75,77,0,4,0,0,99,0
03-03-2025,48,2,50,77,0,0,0,0,99,0
04-03-2025,50,1,51,77,0,1,0,0,99,0
05-03-2025,53,1,54,77,0,2,0,0,99,0
06-03-2025,59,1,60,77,0,3,0,0,99,0
07-03-2025,49,1,50,77,1,4,0,0,99,0
10-03-2025,43,0,43,77,0,0,0,0,99,0
11-03-2025,58,0,58,77,0,1,0,0,99,0
12-03-2025,59,1,60,77,0,2,0,0,100,0
13-03-2025,59,1,60,77,0,3,0,0,100,0
14-03-2025,60,1,61,77,0,4,1,0,100,0
17-03-2025,48,0,48,77,0,0,0,0,100,0
18-03-2025,53,0,53,77,0,1,0,0,100,0
19-03-2025,64,0,64,77,0,2,0,0,100,0
20-03-2025,51,1,52,77,0,3,0,0,101,0
21-03-2025,74,1,75,77,0,4,0,0,101,0
24-03-2025,55,0,55,77,0,0,0,0,101,0
25-03-2025,32,0,32,77,0,1,0,0,103,0
26-03-2025,46,0,46,77,0,2,0,0,103,0
27-03-2025,64,0,64,77,0,3,0,0,103,0
28-03-2025,68,0,68,77,0,4,0,0,103,0
01-04-2025,48,0,48,76,0,1,0,0,103,0
02-04-2025,57,0,57,76,0,2,0,0,105,0
03-04-2025,48,0,48,76,0,3,0,0,105,0
04-04-2025,66,0,66,76,0,4,0,0,105,0
07-04-2025,57,3,60,76,0,0,0,0,105,0
08-04-2025,62,2,64,76,1,1,0,0,105,0
09-04-2025,54,2,56,76,1,2,0,0,105,0
10-04-2025,59,2,61,76,1,3,0,0,105,0
11-04-2025,71,2,73,76,1,4,0,0,105,0
15-04-2025,32,0,32,76,0,1,0,0,105,0
16-04-2025,37,1,38,76,0,2,0,0,105,0
17-04-2025,41,0,41,76,0,3,0,0,105,0
18-04-2025,39,0,39,76,0,4,0,1,105,0
21-04-2025,53,2,55,76,1,0,0,0,105,0
22-04-2025,53,3,56,76,1,1,0,0,105,0
23-04-2025,53,2,55,76,1,2,0,0,105,0
24-04-2025,56,0,56,76,1,3,0,0,105,0
25-04-2025,59,0,59,76,1,4,0,0,105,0
28-04-2025,49,1,50,76,1,0,0,0,105,0
29-04-2025,55,0,55,76,1,1,0,0,105,0
30-04-2025,46,1,47,76,1,2,0,0,105,0
02-05-2025,44,0,44,76,0,4,0,0,105,0
05-05-2025,49,0,49,76,0,0,0,0,104,0
06-05-2025,50,0,50,76,0,1,0,0,104,0
07-05-2025,65,0,65,76,0,2,0,0,104,0
08-05-2025,48,0,48,76,0,3,0,0,104,0
09-05-2025,67,0,67,76,0,4,0,0,104,0
12-05-2025,49,3,52,76,0,0,0,0,104,0
13-05-2025,50,3,53,76,0,1,0,0,104,0
14-05-2025,45,3,48,76,0,2,0,0,104,0
15-05-2025,53,3,56,76,0,3,0,0,103,0
16-05-2025,60,3,63,76,0,4,0,0,103,0
19-05-2025,38,3,41,76,0,0,0,0,103,0
20-05-2025,54,3,57,76,0,1,0,0,103,0
21-05-2025,50,3,53,76,0,2,0,0,103,0
22-05-2025,46,3,49,76,0,3,0,0,103,0
23-05-2025,55,3,58,76,0,4,0,0,103,0
26-05-2025,51,6,57,76,0,0,0,0,103,0
27-05-2025,58,7,65,76,0,1,0,0,103,0
28-05-2025,54,7,61,76,0,2,0,0,103,0
29-05-2025,46,7,53,76,0,3,0,0,103,0
30-05-2025,55,7,62,76,0,4,0,0,103,0
02-06-2025,44,0,44,76,0,0,0,0,103,0
03-06-2025,49,0,49,76,0,1,0,0,103,0
04-06-2025,49,0,49,76,0,2,0,0,103,0
05-06-2025,65,0,65,76,1,3,0,0,103,0
06-06-2025,48,0,48,76,1,4,0,0,103,0
09-06-2025,67,0,67,76,0,0,0,0,103,0
10-06-2025,49,0,49,76,0,1,0,0,103,0
11-06-2025,50,0,50,76,0,2,0,0,103,0
12-06-2025,45,0,45,76,0,3,0,0,103,0
13-06-2025,53,0,53,76,0,4,0,0,103,0
23-06-2025,55,0,55,76,0,0,0,0,103,0
24-06-2025,50,0,50,76,0,1,0,0,102,0
25-06-2025,56,0,56,76,0,2,0,0,102,0
26-06-2025,53,0,53,76,0,3,0,0,102,0
27-06-2025,45,0,45,76,0,4,0,0,102,0
30-06-2025,53,0,53,76,0,0,0,0,102,0
01-07-2025,43,0,43,76,0,1,0,0,102,0
02-07-2025,49,1,50,76,1,2,0,0,101,0
03-07-2025,42,1,43,76,1,3,0,0,101,0
04-07-2025,65,1,66,76,1,4,0,0,101,0
07-07-2025,47,1,48,76,1,0,0,0,101,0
08-07-2025,62,1,63,76,1,1,0,0,101,0
09-07-2025,48,1,49,76,1,2,0,0,101,0
10-07-2025,49,1,50,76,1,3,0,0,101,0
11-07-2025,51,1,52,76,1,4,0,0,101,0
14-07-2025,52,0,52,76,0,0,0,0,101,0
15-07-2025,56,0,56,76,0,1,0,0,101,0
16-07-2025,41,0,41,76,0,2,0,0,101,0
17-07-2025,54,0,54,76,0,3,0,0,101,0
18-07-2025,48,0,48,76,0,4,0,0,101,0
21-07-2025,48,0,48,76,0,0,0,0,101,0
22-07-2025,54,0,54,76,0,1,0,0,101,0
23-07-2025,45,0,45,76,0,2,0,0,101,0
24-07-2025,55,0,55,76,0,3,0,0,101,0
25-07-2025,51,0,51,76,0,4,0,0,101,0
28-07-2025,49,0,49,76,0,0,0,0,101,0
29-07-2025,39,0,39,76,1,1,0,0,100,0
30-07-2025,50,0,50,76,1,2,0,0,100,0
31-07-2025,60,0,60,76,1,3,0,0,100,0
01-08-2025,58,0,58,76,1,4,0,0,100,0
04-08-2025,56,0,56,76,1,0,0,0,100,0
05-08-2025,55,0,55,76,1,1,0,0,100,0
06-08-2025,53,0,53,76,1,2,0,0,100,0
07-08-2025,32,0,32,76,0,3,0,0,100,0
08-08-2025,20,0,20,76,0,4,0,0,100,0
11-08-2025,44,1,45,76,0,0,0,0,100,0
12-08-2025,37,1,38,76,0,1,0,0,100,0
13-08-2025,40,0,40,76,0,2,0,0,100,0
14-08-2025,52,2,54,76,0,3,0,0,100,0
18-08-2025,31,0,31,76,0,0,0,0,100,0
19-08-2025,31,1,32,76,0,1,0,0,99,0
20-08-2025,40,1,41,76,0,2,0,0,99,0
21-08-2025,36,1,37,76,0,3,0,0,99,0
22-08-2025,22,1,23,76,1,4,0,0,99,0
25-08-2025,35,0,35,76,1,0,0,0,99,0
26-08-2025,30,0,30,76,0,1,0,0,99,0
27-08-2025,26,0,26,76,0,2,1,0,99,0
28-08-2025,40,0,40,76,0,3,0,0,99,0
29-08-2025,50,0,50,76,0,4,0,0,99,0
01-09-2025,65,0,65,76,0,0,0,0,99,0
02-09-2025,56,0,56,76,0,1,0,0,112,1
03-09-2025,54,0,54,76,0,2,0,0,112,0
04-09-2025,59,0,59,76,1,3,0,0,112,0
05-09-2025,36,0,36,76,0,4,1,0,112,0
08-09-2025,46,0,46,76,0,0,0,0,112,0
09-09-2025,44,0,44,76,0,1,0,0,112,0
10-09-2025,48,0,48,76,0,2,0,0,111,0
11-09-2025,32,0,32,76,0,3,0,0,111,0
12-09-2025,60,0,60,76,0,4,0,0,111,0
15-09-2025,45,1,46,76,0,0,0,0,111,0
16-09-2025,52,1,53,76,0,1,0,0,111,0
17-09-2025,58,1,59,76,0,2,0,0,111,0
18-09-2025,58,1,59,76,0,3,0,0,111,0
19-09-2025,59,1,60,76,0,4,0,0,111,0
22-09-2025,49,1,50,76,0,0,0,0,111,0
23-09-2025,43,1,44,76,0,1,0,0,111,0
24-09-2025,48,1,49,76,0,2,0,0,111,0
    25-09-2025,54,1,55,76,1,3,0,0,111,0
    26-09-2025,64,1,65,76,0,4,0,0,111,0
    29-09-2025,42,0,42,76,0,0,0,0,111,0
    30-09-2025,37,0,37,76,0,1,0,0,111,0
